x,y
1600.0,402.0
1700.0,462.0
1800.0,531.6
1900.0,610.7
2000.0,695.8
2100.0,778.0
2200.0,841.8
2300.0,870.4
2320.0,871.2
2321.0,871.4
2322.0,871.4
2325.0,871.3
2330.0,871.0
2340.0,870.3
2400.0,857.6
2500.0,812.2
2600.0,750.2
2700.0,684.5
2800.0,622.7
2900.0,567.4
3000.0,519.1
